Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\1\01.bmp;25;124.091;137.155;134.763;946;868;696;628;417;352;195;172;122;113;113;107;107;104;104;102;102;99;98;167.282;165;20.9318;21.0559;0;0;0;0;0;0;0;0;339;2305;745;160;295;368;2247;845;110;274;127;2227;1072;176;242;255;1856;1601;40;92
D:\urban\sg500\1\01.bmp;26;70.7157;81.5578;78.8603;843;725;688;652;585;517;369;298;265;244;228;188;179;177;129;127;106;62;48;154.366;180;55.8014;62.0162;2;2;1;1;1;0;250;0;1346;101;684;545;1168;1354;261;680;391;1158;511;537;1406;199;1191;305;156;1592;0;1791
D:\urban\sg500\1\01.bmp;27;73.7284;75.8358;76.353;1003;961;925;903;837;729;723;692;645;577;555;513;441;415;373;362;294;277;213;145.769;0;92.2368;123.807;5;4;2;2;2;1;349;0;1590;634;432;851;337;1914;731;491;514;194;1651;1036;766;302;89;801;1624;1417;0;2
D:\urban\sg500\1\01.bmp;28;57.5822;61.8757;64.9893;970;929;884;866;797;679;598;563;449;426;377;320;239;232;216;213;205;186;147;176.389;210;80.9526;78.452;4;3;2;2;2;2;549;0;1131;162;298;1637;616;1436;190;278;1460;480;1136;308;473;1504;423;741;660;826;1477;140
D:\urban\sg500\1\01.bmp;29;56.289;58.4383;62.2994;958;919;869;793;756;709;602;531;485;451;402;397;351;348;321;297;293;221;220;186.669;200;75.9866;71.9369;8;4;2;4;2;1;22;0;1129;297;142;2040;236;1250;451;128;1855;160;1061;678;280;1716;109;855;490;1247;1252;0
D:\urban\sg500\1\01.bmp;30;134.702;150.074;146.52;952;863;652;516;395;375;255;175;125;111;72;69;64;60;52;51;45;42;42;166.417;168;6.64427;6.83029;0;0;0;0;0;0;0;0;11;2688;658;0;487;8;2477;913;0;446;0;2382;1080;0;382;0;2091;1633;0;120
D:\urban\sg500\1\01.bmp;31;96.1772;108.907;107.302;1042;993;892;790;695;550;357;333;295;223;191;186;126;120;116;106;106;105;0;166.994;163;42.0629;42.0257;2;1;1;1;1;1;0;0;1076;1035;1115;352;266;1199;865;1363;273;144;585;1007;1532;651;69;280;1342;1763;395;64
D:\urban\sg500\1\01.bmp;32;70.8629;83.1946;83.9178;949;875;696;541;500;457;362;305;278;252;193;172;135;92;90;90;88;88;79;182.052;180;23.8894;24.1132;0;0;0;0;0;0;0;0;590;516;808;726;1204;775;493;922;484;1170;72;579;1099;824;1270;55;646;1438;763;942
D:\urban\sg500\1\01.bmp;33;75.6483;81.128;79.8031;1009;965;881;849;800;735;685;632;558;493;396;353;284;207;118;117;15;15;15;131.832;180;76.0354;92.3551;0;0;0;0;0;0;0;0;1515;371;899;564;495;928;691;999;889;337;596;980;1478;517;273;16;914;2394;169;351
D:\urban\sg500\1\01.bmp;34;57.5437;75.8733;74.1787;610;572;414;358;319;294;238;217;154;150;129;124;104;37;24;24;8;0;0;174.751;162;17.8963;21.9752;0;0;0;0;0;0;0;0;876;29;286;571;2082;563;152;47;976;2106;121;453;17;1257;1996;0;271;195;1019;2359
D:\urban\sg500\1\01.bmp;35;49.1574;65.9945;66.3819;707;595;457;396;333;298;293;289;261;258;256;234;234;198;116;116;109;5;4;180.733;180;17.7033;17.7301;0;0;0;0;0;0;0;0;271;7;329;824;2413;329;25;244;757;2489;4;44;328;888;2580;0;58;562;163;3061
D:\urban\sg500\1\01.bmp;36;76.9875;87.4755;83.942;876;779;724;683;635;518;396;381;359;351;262;253;239;195;170;154;136;100;96;151.556;150;54.5307;54.4861;7;3;2;4;2;1;208;0;1360;223;408;488;1365;1560;123;508;375;1278;636;97;1287;396;1428;314;60;1847;339;1284
D:\urban\sg500\1\01.bmp;37;84.8829;85.845;87.0546;989;926;839;794;739;718;672;617;591;559;541;478;448;396;369;364;342;305;299;154.601;0;106.417;116.026;11;8;3;1;1;1;459;0;1669;611;531;536;497;1742;660;698;410;334;1170;872;1268;347;187;1011;445;2361;27;0
D:\urban\sg500\1\01.bmp;38;80.9794;83.1358;86.064;944;904;867;831;780;763;731;716;693;677;608;561;500;485;472;467;421;418;347;196.401;240;89.0617;74.0748;8;4;2;1;1;0;0;0;1763;514;299;1005;263;2043;512;392;729;168;1682;585;803;640;134;1437;818;1466;103;20
D:\urban\sg500\1\01.bmp;39;78.5458;78.4194;82.0773;899;859;829;780;733;637;624;598;566;549;529;487;486;468;456;447;421;403;309;202.898;240;86.4578;68.8985;1;1;1;0;0;0;382;0;1164;330;1139;914;297;1219;503;1256;718;148;887;811;1655;427;64;654;732;2369;40;49
D:\urban\sg500\1\01.bmp;40;58.7739;67.764;69.3845;889;807;758;697;609;581;476;368;286;244;198;191;176;173;70;66;42;39;27;166.639;180;76.1213;77.5487;0;0;0;0;0;0;0;0;1184;129;303;820;1408;1163;194;274;876;1337;235;388;350;1430;1441;53;547;431;1302;1511
D:\urban\sg500\1\01.bmp;41;46.295;54.9006;58.1186;950;877;742;675;571;479;395;151;137;118;58;57;51;51;16;16;16;16;0;194.212;180;35.8137;41.8459;0;0;0;0;0;0;0;0;1137;39;78;1521;1069;1369;117;143;1231;984;62;267;72;2104;1339;0;75;0;2322;1447
